,Price
0,1113525.6292008958
1,320629.2993156514
2,1098663.599625506
3,812727.7084090482
4,1062226.918601857
5,1587154.1511014926
6,1215838.3090708482
7,1208481.983599471
8,1139594.5017013715
9,1142425.937242766
10,546597.2316800124
11,1461394.796047733
12,1496232.0522668986
13,699209.0610770315
14,1189497.2304716709
15,1428457.7323727277
16,1593017.266321511
17,1554284.320009003
18,1037664.6455399073
19,926555.5911363153
20,1421142.8119945342
21,333555.6152602058
22,936178.3602567867
23,727255.1973975163
24,1458745.936065184
25,1079833.944214422
26,954919.043803771
27,1368929.8188191839
28,966437.4239269206
29,1466137.0397868345
30,1284537.4302115887
31,1704959.5792443007
32,1595178.2905449094
33,749339.4207034308
34,950566.6590093895
35,1326748.476578711
36,285442.5139198558
37,1066535.0995036357
38,812725.1682874761
39,1199399.5247376128
40,806141.4372929514
41,896537.2647594389
42,1575327.399931823
43,1053734.1835705573
44,1221922.2189503773
45,217847.04951388552
46,425212.42169610946
47,954015.4974428769
48,1455588.2276265426
49,1771019.1124138439
50,719000.8727385108
51,651738.7139960461
52,808922.8376415146
53,1644176.5627255063
54,950087.1578745751
55,901810.1103910245
56,1160358.2454969708
57,1145089.8654930056
58,1327190.0518722392
59,839310.3243655689
60,1550820.2325455907
61,766964.1751439006
62,739229.7704693311
63,786393.0349491809
64,1138037.3835712678
65,1640584.232970408
66,918644.8925031093
67,330508.0734919739
68,1184963.7104420406
69,1288708.0469710098
70,459949.79467328696
71,883535.3723268274
72,1140273.0130359575
73,1317542.497130995
74,1011092.3452992399
75,798551.8700072365
76,1128214.1499707387
77,1535642.568366297
78,1156757.6864662953
79,826649.256968337
80,1219483.5880967306
81,446265.2601511382
82,1396981.663234191
83,937140.2055499834
84,949504.8792462581
85,1337243.5509346544
86,925459.5208266351
87,1590229.6275346065
88,954015.4974428769
89,1026511.4918892836
90,1091935.1187666033
91,1222051.2516585167
92,888406.2701567077
93,1183507.8633674101
94,761379.047192337
95,818630.952423482
96,716844.5031594142
97,1686513.5918154009
98,810576.683501647
99,1337424.1978592323
100,626851.5119695652
