,Price
0,983248.5238023223
1,873712.0607766386
2,1021614.7647596512
3,1350068.5787163014
4,2558809.7247758405
5,835215.4079573473
6,963559.2563297072
7,1637761.0251733977
8,1356474.305082739
9,1057966.2532430473
10,1388732.2214575238
11,1039777.4311206632
12,730990.8995861171
13,1071742.9737074238
14,572573.6256771121
15,792809.2102089575
16,481892.35546526406
17,1264043.4783831108
18,1323703.295158406
19,737285.2313504001
20,500498.0513329224
21,1923733.8510450623
22,1461479.4251605214
23,210371.6159864068
24,1049600.987929395
25,819750.2344528072
26,813223.6082194576
27,824092.376795884
28,1766077.4014977263
29,1978581.5992665985
30,735553.2179545818
31,962600.031670092
32,1124292.9882708662
33,1209827.377986743
34,1385647.151676548
35,1567308.8396588876
36,634193.2832772895
37,1558817.291056187
38,937912.1044172067
39,1324996.0054468035
40,1251584.5783114238
41,1585915.3402370727
42,386558.7548348714
43,799539.3307777795
44,1205067.8655433033
45,1762986.4909076665
46,990265.7790723318
47,1169741.752360706
48,654222.150800307
49,1068288.5057118381
50,958061.9752371556
51,1017025.0228922515
52,1474908.1583669754
53,1118737.4695094815
54,830358.3700656716
55,1001398.0797255526
56,1106665.7566806716
57,1433500.8798159854
58,676346.0231511688
59,546872.3518566666
60,1146111.1725601454
61,708078.639090586
62,1286902.2805895393
63,889178.1876625586
64,1065589.1367834304
65,750439.4076567199
66,899828.1441573971
67,1148493.4349488397
68,1519535.3958658357
69,1638574.8397359466
70,1400711.3710901372
71,612259.3387137735
72,992369.1572481988
73,795131.73150867
74,1319781.5668718948
75,693560.9912299879
76,887879.8588878895
77,1243583.0489778484
78,1122587.5919445
79,1012727.3367718832
80,926985.5279137042
81,1076024.826147673
82,846123.6321923868
83,889599.1029761027
84,631160.8280719963
85,190867.38683516008
86,1178960.467620293
87,1067036.9960164903
88,1442076.9841330913
89,643449.0836358143
90,961002.255952023
91,1023757.2239065603
92,961422.9134318811
93,807788.8215759811
94,708112.6682028302
95,618832.0305908849
96,987092.9350492172
97,1093651.7645877704
98,1082003.0045575707
99,618641.2980930123
100,1170739.2507303045
101,1220990.747406419
102,404824.8659146688
103,1373776.55331418
104,756804.0708415764
105,695746.3547966365
106,654941.7189023845
107,1059071.659381047
108,813062.2903596457
109,533174.6673887076
110,1744723.269610588
111,706335.7303586919
112,789790.3665300792
113,1498289.3250192883
114,1454223.7297687053
115,1116908.1703909698
116,1604910.6773533467
117,1172541.7839579969
118,1552331.961622122
119,1493523.536268248
120,979577.9042971475
121,1239009.2950492946
122,964787.1069273106
123,689642.4903583166
124,654158.1437734821
125,1061847.479623643
126,2004919.0776074864
127,1020168.3425839955
128,1347533.5789235483
129,1131812.8528837396
130,865160.1461638084
131,637268.984033681
132,574817.2944371924
133,1545711.5563469117
134,1573711.179690083
135,1271346.8106614447
136,1278849.020948822
137,1387589.4735116689
138,659054.036729503
139,1282244.323549937
140,746168.0517168374
141,914497.5126151834
142,1013865.442590893
143,710825.0446951214
144,1266527.3175426351
145,1182241.4137363066
146,1046471.0200381109
147,1481821.4117015104
148,915141.7324672402
149,1209125.398741001
150,1064157.6476906773
151,1397268.7921612137
152,546266.3666848114
153,931863.3779420361
154,1087392.2903841613
155,605245.0639821936
156,849861.1511009994
157,1839134.729565232
158,1269481.710730524
159,1147599.9314008348
160,1652185.2513691103
161,2562361.881853059
162,1415746.5517120487
163,946023.8306269473
164,1260141.248627511
165,1756104.312784172
166,631851.1296096276
167,1074796.5601197695
168,1088027.4012842649
169,862124.0062905477
170,1489616.0083816273
171,1128948.9934761259
172,816692.264028382
173,923167.9641818901
174,543853.5081777881
175,2216436.164685837
176,1640572.6448705483
177,869145.3428096231
178,1731991.95674819
179,1123058.3025480632
180,781349.0193248005
181,883523.7842269677
182,1064108.8196060169
183,900481.8552424038
184,865482.5075167242
185,710117.2476615468
186,1268723.6437151185
187,1170420.77854549
188,788681.0712239783
189,1288299.4778040163
190,458961.531037785
191,1119788.0781687698
192,1332143.29906786
193,1148242.7369924122
194,1273002.6985867594
195,997891.5861490328
196,1268468.904190421
197,627655.7327713887
198,1124719.5266786595
199,686576.1311364685
200,1670730.2990342262
201,1304856.7971361498
202,958634.2098618157
203,1272918.069473971
204,1079717.304316669
205,1401442.0325575825
206,1310359.596135713
207,777481.4376523511
208,1493175.5646743823
209,816499.2517834615
210,409355.3014867245
211,1423155.653661529
212,803169.3044465156
213,1320774.7886868382
214,1140842.1455971817
215,1420414.9049235696
216,583926.5892669809
217,1002360.8468275708
218,1154811.8912713686
219,1105235.4867920906
220,1114098.5520005957
221,800688.913719525
222,812407.4243016099
223,1464811.486512902
224,1309560.138667877
225,965875.7816786409
226,840499.4667440108
227,1090131.9758846918
228,546872.3518566666
229,219764.7201127659
230,886604.6478302653
231,1400018.3334512706
232,876708.7456355453
233,1183211.9418882902
234,1008789.2902476476
235,1152678.7331171143
236,1249148.254694869
237,1342227.2470692894
238,823092.3243125295
239,1439751.866686475
240,1216098.7566900682
241,637783.7175943884
242,1159027.0737367668
243,1078932.9519672839
244,1051614.8571022956
245,688869.2377981202
246,994978.7178666829
247,838495.4176291128
248,412986.277721117
249,886835.0772128811
250,554960.5247950564
251,570300.2466978848
252,1134925.1182275037
253,1206489.9249396962
254,1110044.0173050652
255,421527.1823246989
256,963966.7822883095
257,2077976.1087677856
258,687154.2137184704
259,818853.7418349904
260,786877.3373264726
261,1237506.7639020653
262,936321.5772116897
263,1415286.018438019
264,890380.6302668371
265,1515020.2513568525
266,1405735.1923655865
267,1289719.7570774157
268,807937.4577155946
269,1113121.9646267728
270,2179741.7460881574
271,749405.0703330408
272,855980.8620086565
273,725766.0465167239
274,1954657.453101003
275,680556.5446836203
276,1048786.8859034656
277,668326.2953901517
278,1226797.7037643974
279,1096966.2645738595
280,1330412.3537618802
281,540770.4366245676
282,917357.7780256369
283,1157059.1368234355
284,1743778.0877120618
285,1315981.1099478002
286,1591829.3865813566
287,934262.29907896
288,1393768.9723109996
289,1118778.7173326036
290,1061885.5588252454
291,1335457.3587391013
292,1587847.0171742388
293,1078577.6683184325
294,1624400.0985536189
295,1159702.1211451984
296,1201675.7982319214
