,Price
32183,1475000.0
10801,518000.0
4742,681500.0
25089,1572500.0
29441,1198000.0
29642,1210000.0
29733,1856000.0
11928,600000.0
33110,380000.0
30094,1240000.0
32599,1762500.0
22671,743000.0
24784,855000.0
227,1692500.0
5771,650000.0
33504,1602333.333333333
4694,547500.0
23567,850000.0
7082,1280000.0
1961,2504000.0
25103,828000.0
18058,839000.0
3271,719500.0
3651,992333.3333333335
694,1365000.0
31629,857000.0
10042,1453000.0
34853,888000.0
10884,793000.0
18753,704000.0
23584,1050000.0
29462,1037333.3333333335
18346,2070000.0
31467,2255000.0
13626,810000.0
34572,475000.0
17040,737500.0
34117,1180000.0
17880,1700000.0
29035,608000.0
6764,1806666.666666667
25135,1660000.0
1608,1600000.0
25432,610000.0
7549,925000.0
26825,880000.0
23657,1288000.0
16367,677500.0
26547,1122000.0
16541,1490000.0
11313,1010000.0
34681,920000.0
27691,900000.0
1643,1760000.0
5011,1400000.0
24364,653000.0
13348,1290000.0
8777,1150000.0
8000,604000.0
126,715000.0
33213,887333.3333333335
6779,1320000.0
21424,1325000.0
23812,1030000.0
9845,700000.0
13955,1050000.0
10715,1020500.0
3946,1201250.0
2397,1200000.0
12142,1715000.0
28591,840000.0
31322,360000.0
9414,569000.0
8160,600000.0
10458,490000.0
31329,1105000.0
32012,1170000.0
1850,1036000.0
14016,1125000.0
34557,1130000.0
27490,1010000.0
2452,1380000.0
16964,1130000.0
34629,1280000.0
33145,734000.0
9643,717000.0
21033,1252500.0
16366,685000.0
17824,1270000.0
29676,1730000.0
7659,990000.0
20457,1250500.0
33491,600000.0
6392,2576250.0
12496,1513444.4444444443
3112,1470000.0
15779,400000.0
8537,445000.0
11781,967000.0
8667,777000.0
26688,856000.0
6499,1500000.0
24394,947500.0
30187,1616000.0
11486,1401000.0
27713,1325000.0
16123,902500.0
20206,1480000.0
27076,1045000.0
124,490000.0
12913,1704500.0
29251,2475000.0
755,670000.0
27398,1200000.0
31461,2140000.0
34235,710000.0
33194,1072750.0
11019,373000.0
25762,720000.0
11273,691500.0
1987,1400000.0
30298,1035000.0
9287,1050000.0
14725,2800000.0
5800,640000.0
30955,710500.0
11156,310000.0
23772,700000.0
22549,687500.0
1975,1323333.333333333
22010,1340000.0
30158,715333.3333333335
4556,411000.0
13438,1867000.0
8849,638000.0
33412,481000.0
2029,1915000.0
27961,617500.0
14704,507000.0
25703,833000.0
32720,628000.0
11253,783000.0
11131,860000.0
22018,754000.0
9867,315000.0
10273,1010000.0
